notion_id;capacite_id;role
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;ITM_MAT_TERM_G_2019_01_02_04;PRINCIPALE
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;ITM_MAT_TERM_G_2019_01_02_05;PRINCIPALE
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;ITM_MAT_TERM_G_2019_01_02_06;PRINCIPALE
MAT_ORTHOGONALITE_ET_DISTANCES_DANS_L_ESPACE;ITM_MAT_TERM_G_2019_01_03_01;PRINCIPALE
MAT_ORTHOGONALITE_ET_DISTANCES_DANS_L_ESPACE;ITM_MAT_TERM_G_2019_01_03_02;PRINCIPALE
MAT_ORTHOGONALITE_ET_DISTANCES_DANS_L_ESPACE;ITM_MAT_TERM_G_2019_01_03_03;PRINCIPALE
MAT_ORTHOGONALITE_ET_DISTANCES_DANS_L_ESPACE;ITM_MAT_TERM_G_2019_01_03_04;PRINCIPALE
MAT_REPRESENTATIONS_PARAMETRIQUES_ET_EQUATIONS_CARTESIENNES;ITM_MAT_TERM_G_2019_01_04_01;PRINCIPALE
MAT_REPRESENTATIONS_PARAMETRIQUES_ET_EQUATIONS_CARTESIENNES;ITM_MAT_TERM_G_2019_01_04_02;PRINCIPALE
MAT_REPRESENTATIONS_PARAMETRIQUES_ET_EQUATIONS_CARTESIENNES;ITM_MAT_TERM_G_2019_01_04_03;PRINCIPALE
MAT_REPRESENTATIONS_PARAMETRIQUES_ET_EQUATIONS_CARTESIENNES;ITM_MAT_TERM_G_2019_01_04_04;PRINCIPALE
MAT_SUITES_NUMERIQUES;ITM_MAT_TERM_G_2019_02_01_01;PRINCIPALE
MAT_SUITES_NUMERIQUES;ITM_MAT_TERM_G_2019_02_01_02;PRINCIPALE
MAT_SUITES_NUMERIQUES;ITM_MAT_TERM_G_2019_02_01_03;PRINCIPALE
MAT_LIMITES_DES_FONCTIONS;ITM_MAT_TERM_G_2019_02_02_01;PRINCIPALE
MAT_LIMITES_DES_FONCTIONS;ITM_MAT_TERM_G_2019_02_02_02;PRINCIPALE
MAT_COMPLEMENTS_SUR_LA_DERIVATION;ITM_MAT_TERM_G_2019_02_03_01;PRINCIPALE
